"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","jguiang-MacBookPro",,,,"User:","jguiang"
"Cmdline:","dstat -cdngytlmrs --float --nocolor -T --output dsout.csv 2",,,,"Date:","04 Jun 2017 13:20:47 PDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"system","load avg",,,"memory usage",,,,"io/total",,"swap",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","time","1m","5m","15m","used","buff","cach","free","read","writ","used","free","epoch"
5.679,1.774,92.151,0.359,0.0,0.037,137936.986,12173394.206,0.0,0.0,0.0,0.0,815.279,3044.691,04-06 13:20:47,0.250,0.200,0.190,1817419776.0,136568832.0,1487917056.0,4796928000.0,6.388,3.425,0.0,8191471616.0,1496607647.106
1.247,1.247,97.382,0.125,0.0,0.0,0.0,16384.0,63.0,0.0,0.0,0.0,258.0,2401.500,04-06 13:20:49,0.250,0.200,0.190,1817776128.0,136577024.0,1472024576.0,4812455936.0,0.0,1.0,0.0,8191471616.0,1496607649.108
1.261,0.631,98.108,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,229.0,2337.500,04-06 13:20:51,0.230,0.190,0.190,1817976832.0,136577024.0,1472331776.0,4811948032.0,0.0,0.0,0.0,8191471616.0,1496607651.108
1.255,1.129,97.616,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,221.0,2259.0,04-06 13:20:53,0.230,0.190,0.190,1818185728.0,136577024.0,1472249856.0,4811821056.0,0.0,0.0,0.0,8191471616.0,1496607653.108
1.502,0.876,97.497,0.125,0.0,0.0,0.0,8192.0,119.0,97.0,0.0,0.0,232.500,2363.0,04-06 13:20:55,0.230,0.190,0.190,1818652672.0,136585216.0,1472249856.0,4811345920.0,0.0,1.0,0.0,8191471616.0,1496607655.108
1.508,0.879,97.613,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,212.0,2180.0,04-06 13:20:57,0.210,0.190,0.190,1819066368.0,136585216.0,1472249856.0,4810932224.0,0.0,0.0,0.0,8191471616.0,1496607657.108
1.264,1.011,97.598,0.0,0.0,0.126,0.0,0.0,150.0,149.500,0.0,0.0,256.500,2368.500,04-06 13:20:59,0.210,0.190,0.190,1819525120.0,136585216.0,1472249856.0,4810473472.0,0.0,0.0,0.0,8191471616.0,1496607659.108
1.132,1.006,97.736,0.126,0.0,0.0,0.0,6144.0,42.0,0.0,0.0,0.0,237.0,2388.0,04-06 13:21:01,0.200,0.190,0.190,1819787264.0,136593408.0,1472266240.0,4810186752.0,0.0,1.0,0.0,8191471616.0,1496607661.108
1.004,1.129,97.867,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,220.500,2471.0,04-06 13:21:03,0.200,0.190,0.190,1819660288.0,136593408.0,1472266240.0,4810313728.0,0.0,0.0,0.0,8191471616.0,1496607663.108
1.500,1.125,97.375,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,219.500,2496.500,04-06 13:21:05,0.200,0.190,0.190,1819803648.0,136593408.0,1472249856.0,4810186752.0,0.0,0.0,0.0,8191471616.0,1496607665.108
